"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0D650","2020-02-01 00:00:00","97.000","61.000","2.000","10.200","0.650","1012.400","","0.000","-99.000","-99.000","-99.000","14.700","","8.800",""
"C0K510","2020-02-01 00:00:00","10.000","52.000","1.600","10.400","0.750","1020.900","","0.000","-99.000","-99.000","-99.000","18.800","","9.700",""
"C0V360","2020-02-01 00:00:00","94.000","0.000","0.200","7.600","0.950","1011.400","","0.000","-99.000","-99.000","-99.000","23.300","","4.400",""
"C0M780","2020-02-01 00:00:00","30.000","38.000","0.800","10.600","0.750","1019.700","","0.000","-99.000","-99.000","-99.000","20.500","","7.400",""
"C0K530","2020-02-01 00:00:00","12.000","63.000","1.700","11.400","0.690","1021.300","","0.000","-99.000","-99.000","-99.000","17.500","","11.100",""
"C0V750","2020-02-01 00:00:00","50.000","29.000","1.600","13.700","0.680","1017.800","","0.000","-99.000","-99.000","-99.000","20.400","","9.300",""
"C0M830","2020-02-01 00:00:00","540.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0T790","2020-02-01 00:00:00","2830.000","277.000","1.500","-2.400","0.220","724.800","","0.000","-99.000","-99.000","-99.000","8.700","","-4.100",""
"C0F0D0","2020-02-01 00:00:00","3171.000","257.000","0.700","-5.300","0.200","694.600","","0.000","-99.000","-99.000","-99.000","3.400","","-5.800",""
"C0F9X0","2020-02-01 00:00:00","166.000","357.000","0.800","10.600","0.730","1003.000","","0.000","-99.000","-99.000","-99.000","17.000","","9.100",""
"C0F9Q0","2020-02-01 00:00:00","149.000","134.000","3.000","9.700","0.790","1004.100","","0.000","-99.000","-99.000","-99.000","19.200","","8.400",""
"C0E780","2020-02-01 00:00:00","160.000","177.000","0.300","7.200","0.870","1004.500","","0.000","-99.000","-99.000","-99.000","17.900","","7.200",""
"C0SA80","2020-02-01 00:00:00","136.000","249.000","0.600","11.300","0.860","1008.100","","0.000","-99.000","-99.000","-99.000","18.400","","10.600",""
"C0U960","2020-02-01 00:00:00","1885.000","235.000","1.500","-1.400","1.000","816.600","","0.000","-99.000","-99.000","-99.000","6.600","","-5.700",""
"C0T9E0","2020-02-01 00:00:00","415.000","0.000","0.000","9.800","0.820","977.000","","0.000","-99.000","-99.000","-99.000","14.500","","8.600",""
"C0D550","2020-02-01 00:00:00","1956.000","193.000","0.300","2.400","0.370","812.500","","0.000","-99.000","-99.000","-99.000","8.000","","-3.300",""
"C0C630","2020-02-01 00:00:00","209.000","85.000","2.000","9.000","0.680","999.400","","0.000","-99.000","-99.000","-99.000","14.200","","6.400",""
"C0AI30","2020-02-01 00:00:00","26.000","76.000","3.600","11.800","0.660","1022.800","","0.000","-99.000","-99.000","-99.000","15.100","","8.800",""
"C0A9E0","2020-02-01 00:00:00","26.000","151.000","0.400","11.200","0.620","1022.700","","0.000","-99.000","-99.000","-99.000","16.400","","8.400",""
"C0R590","2020-02-01 00:00:00","72.000","8.000","1.700","12.400","0.850","1014.000","","0.000","-99.000","-99.000","-99.000","21.200","","9.200",""
"C0G820","2020-02-01 00:00:00","29.000","0.000","0.100","8.600","0.870","1019.800","","0.000","-99.000","-99.000","-99.000","21.100","","4.400",""
"C0U600","2020-02-01 00:00:00","10.000","323.000","0.800","9.700","0.760","1023.900","","0.000","-99.000","-99.000","-99.000","16.600","","7.300",""
"C0U910","2020-02-01 00:00:00","17.000","282.000","0.700","12.500","0.650","1023.500","","0.000","-99.000","-99.000","-99.000","15.400","","9.400",""
"C0X300","2020-02-01 00:00:00","70.000","78.000","0.300","9.200","0.940","1014.200","","0.000","-99.000","-99.000","-99.000","21.000","","5.400",""
"C0U970","2020-02-01 00:00:00","7.000","318.000","0.400","10.100","0.750","1026.000","","0.000","-99.000","-99.000","-99.000","15.800","","8.200",""
"C0R340","2020-02-01 00:00:00","230.000","18.000","1.300","11.400","0.850","995.900","","0.000","-99.000","-99.000","-99.000","20.200","","11.300",""
"C0M750","2020-02-01 00:00:00","10.000","24.000","2.400","11.600","0.690","1021.600","","0.000","-99.000","-99.000","-99.000","18.400","","10.200",""
"C0I110","2020-02-01 00:00:00","161.000","148.000","0.600","10.000","0.890","1004.600","","0.000","-99.000","-99.000","-99.000","19.700","","5.900",""
"C0V370","2020-02-01 00:00:00","74.000","44.000","0.400","9.500","0.950","1014.700","","0.000","-99.000","-99.000","-99.000","21.600","","4.800",""
"C0C690","2020-02-01 00:00:00","242.000","147.000","1.400","9.000","0.650","994.800","","0.000","-99.000","-99.000","-99.000","14.100","","7.000",""
"C0A540","2020-02-01 00:00:00","401.000","0.000","0.000","4.500","0.980","976.800","","0.000","-99.000","-99.000","-99.000","13.400","","2.000",""
"C0SA60","2020-02-01 00:00:00","6.000","339.000","1.900","13.500","0.710","1022.800","","0.000","-99.000","-99.000","-99.000","19.900","","12.700",""
"C0H950","2020-02-01 00:00:00","192.000","0.000","0.000","7.400","0.990","1000.800","","0.000","-99.000","-99.000","-99.000","19.900","","2.900",""
"C0O960","2020-02-01 00:00:00","112.000","44.000","1.000","10.800","0.850","1009.400","","0.000","-99.000","-99.000","-99.000","21.600","","7.200",""
"C0E880","2020-02-01 00:00:00","507.000","88.000","2.200","9.400","0.740","962.900","","0.000","-99.000","-99.000","-99.000","15.700","","7.100",""
"C0S890","2020-02-01 00:00:00","238.000","321.000","0.500","10.800","0.880","999.800","","0.000","-99.000","-99.000","-99.000","16.700","","10.800",""
"C0T820","2020-02-01 00:00:00","550.000","0.000","0.000","9.700","0.770","964.400","","0.000","-99.000","-99.000","-99.000","15.200","","5.300",""
"C0F9I0","2020-02-01 00:00:00","194.000","62.000","0.700","10.000","0.750","999.000","","0.000","-99.000","-99.000","-99.000","16.900","","9.000",""
"C0C650","2020-02-01 00:00:00","208.000","41.000","1.100","7.900","0.710","999.200","","0.000","-99.000","-99.000","-99.000","13.800","","4.500",""
"C0R600","2020-02-01 00:00:00","766.000","78.000","1.600","11.600","0.780","933.700","","0.000","-99.000","-99.000","-99.000","16.500","","10.200",""
"C0Z320","2020-02-01 00:00:00","646.000","229.000","0.900","7.100","0.970","949.000","","0.000","-99.000","-99.000","-99.000","13.200","","6.800",""
"C0V210","2020-02-01 00:00:00","734.000","51.000","0.300","8.600","0.750","939.300","","0.000","-99.000","-99.000","-99.000","19.000","","2.900",""
"C0K240","2020-02-01 00:00:00","1132.000","341.000","1.700","7.200","0.750","896.800","","0.000","-99.000","-99.000","-99.000","14.500","","4.900",""
"C0M520","2020-02-01 00:00:00","15.000","39.000","1.300","10.400","0.760","1020.600","","0.000","-99.000","-99.000","-99.000","19.400","","7.100",""
"C0A530","2020-02-01 00:00:00","300.000","38.000","1.700","-99.000","0.990","989.800","","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0E820","2020-02-01 00:00:00","220.000","192.000","0.600","5.500","0.920","997.500","","0.000","-99.000","-99.000","-99.000","15.900","","2.300",""
"C0G760","2020-02-01 00:00:00","53.000","0.000","0.200","9.100","0.990","1019.300","","0.000","-99.000","-99.000","-99.000","20.400","","4.600",""
"CM0120","2020-02-01 00:00:00","4.000","49.000","3.900","12.700","0.620","1022.200","","0.000","-99.000","-99.000","-99.000","16.900","","11.700",""
"C0Z290","2020-02-01 00:00:00","946.000","0.000","0.000","7.800","0.710","916.400","","0.000","-99.000","-99.000","-99.000","9.200","","4.500",""
"C0V680","2020-02-01 00:00:00","40.000","0.000","0.000","13.600","0.740","1017.600","","0.000","-99.000","-99.000","-99.000","19.400","","8.700",""
"C0F9U0","2020-02-01 00:00:00","74.000","48.000","0.700","12.300","0.630","1013.700","","0.000","-99.000","-99.000","-99.000","20.000","","10.500",""
"C0AI10","2020-02-01 00:00:00","76.000","192.000","0.400","8.600","0.880","1015.100","","0.000","-99.000","-99.000","-99.000","15.400","","6.700",""
"C0V530","2020-02-01 00:00:00","34.000","71.000","0.400","12.000","0.780","1018.200","","0.000","-99.000","-99.000","-99.000","20.100","","6.500",""
"C0R550","2020-02-01 00:00:00","38.000","44.000","2.300","13.000","0.860","1018.900","","0.000","-99.000","-99.000","-99.000","20.800","","7.500",""
"C0F9L0","2020-02-01 00:00:00","253.000","50.000","1.000","10.800","0.710","992.300","","0.000","-99.000","-99.000","-99.000","17.500","","7.600",""
"C0A950","2020-02-01 00:00:00","60.000","17.000","1.900","13.000","0.550","1018.200","","0.000","-99.000","-99.000","-99.000","13.900","","12.400",""
"C0R160","2020-02-01 00:00:00","45.000","20.000","1.300","12.000","0.990","1016.600","","0.000","-99.000","-99.000","-99.000","22.200","","7.700",""
"C0F9S0","2020-02-01 00:00:00","43.000","354.000","1.200","11.200","0.670","1018.100","","0.000","-99.000","-99.000","-99.000","19.800","","7.000",""
"C0M820","2020-02-01 00:00:00","980.000","0.000","0.000","6.200","0.740","911.200","","0.000","-99.000","-99.000","-99.000","14.700","","3.400",""
"C0G870","2020-02-01 00:00:00","12.000","48.000","0.600","10.400","0.680","1022.400","","0.000","-99.000","-99.000","-99.000","18.000","","10.400",""
"C0AH10","2020-02-01 00:00:00","30.000","125.000","1.800","11.000","0.670","-99.000","","0.000","-99.000","-99.000","-99.000","15.200","","8.400",""
"C0R680","2020-02-01 00:00:00","13.000","44.000","3.000","17.400","0.620","1021.400","","0.000","-99.000","-99.000","-99.000","20.000","","16.600",""
"C0X210","2020-02-01 00:00:00","38.000","28.000","0.800","11.700","0.830","1016.400","","0.000","-99.000","-99.000","-99.000","21.500","","7.500",""
